title,key,style,tempo,checked,audio_produced,chords,marked_,turnaround,composers
502 Blues,a,,,,,"Am7, Db^7, B%7, E7, Am7, Db^7, B%7, E7, Cm7, F7, Bb^7, Abm7, Db7, F#%7, B7, E^7, E^7, E7, Am7, Db^7, B%7, E7, Am7, Db^7, B%7, E7, Cm7, F7, Bb^7, Abm7, Db7, F#%7, B7, Em7, Em7",|Am7|Db^7|B%7|E7|Am7|Db^7|B%7|E7|Cm7|F7|Bb^7|Abm7 Db7|F#%7|B7|E^7|E^7 E7|Am7|Db^7|B%7|E7|Am7|Db^7|B%7|E7|Cm7|F7|Bb^7|Abm7 Db7|F#%7|B7|Em7|Em7|,0,"Rowles, Jimmy"
Across The Valley From The Alamo,F,,,,,"F^7, F^7, F^7, F^7, C7, C7, Gm7, C7, F^7, F^7, F^7, F^7, F^7, C7, C7, Gm7, C7, F^7, Bb^7, F^7, Bb^7, Bbm7, F^7, A7, Dm7, G7, G7, C7, F^7, F^7, F^7, F^7, C7, C7, Gm7, C7, F^7",|F^7|F^7|F^7|F^7|C7|C7|Gm7 C7|F^7|F^7|F^7|F^7|F^7|C7|C7|Gm7 C7|F^7|Bb^7|F^7|Bb^7 Bbm7|F^7|A7|Dm7 G7|G7|C7|F^7|F^7|F^7|F^7|C7|C7|Gm7 C7|F^7|,0,"Greene, Joe"
Afro Blue,f,,,,,"Fm7, Gm7, Ab^7, Gm7, Fm7, Fm7, Gm7, Ab^7, Gm7, Fm7, Eb^, Eb^, Db^, Eb^, Fm7, Eb^, Eb^, Db^, Eb^, Fm7",|Fm7|Gm7|Ab^7 Gm7|Fm7|Fm7|Gm7|Ab^7 Gm7|Fm7|Eb^|Eb^|Db^ Eb^|Fm7|Eb^|Eb^|Db^ Eb^|Fm7|,0,"Santamaria, Mongo"
All Of Me,C,,,,,"C^7, C^7, E7, E7, A7, A7, Dm7, Dm7, E7, E7, Am7, Am7, D7, D7, Dm7, G7, C^7, C^7, E7, E7, A7, A7, Dm7, Dm7, F^7, Fm6, Em7, A7, Dm7, G7, C6, Ebo7, Dm7, G7",|C^7|C^7|E7|E7|A7|A7|Dm7|Dm7|E7|E7|Am7|Am7|D7|D7|Dm7|G7|C^7|C^7|E7|E7|A7|A7|Dm7|Dm7|F^7|Fm6|Em7|A7|Dm7|G7|C6 Ebo7|Dm7 G7|,3,"Marks, Gerald"
Armando's Rhumba,c,,,,,"Cm7, D7, G7, Cm7, Cm7, D7, G7, Cm7, C7, Fm7, D7, Gm7, Abo7, D7, Bbsus, Bbsus, Bbsus, Bbsus, Eb6, Eb6, Eb6, Eb6, G7",|Cm7|D7|G7|Cm7|Cm7|D7|G7|Cm7|C7|Fm7|D7|Gm7|Abo7|D7|Bbsus|Bbsus|Bbsus|Bbsus|Eb6&Eb6&Eb6&Eb6|G7|,1,"Corea, Chick"
Autumn Leaves,g,,,,,"Cm7, F7, Bb^7, Eb^7, A%7, D7, Gm6, Gm6, Cm7, F7, Bb^7, Eb^7, A%7, D7, Gm6, Gm6, A%7, D7, Gm6, Gm6, Cm7, F7, Bb^7, Bb^7, A%7, D7, Gm7, Gb7, Fm7, E7, A%7, D7, Gm6, Gm6",|Cm7|F7|Bb^7|Eb^7|A%7|D7|Gm6|Gm6|Cm7|F7|Bb^7|Eb^7|A%7|D7|Gm6|Gm6|A%7|D7|Gm6|Gm6|Cm7|F7|Bb^7|Bb^7|A%7|D7|Gm7 Gb7|Fm7 E7|A%7|D7|Gm6|Gm6|,0,"Kosma, Joseph"
Avalon,B-,,,,,"Cm7, Cm7, F7, F7, Bb6, Bb6, Bb6, G7, Cm7, Cm7, F7, F7, Bb6, Bb6, Bb6, Bb6, Dm7, Dm7, G7, G7, Cm7, Cm7, Ebm7, Ab7, Bb6, Bb6, G7, G7, Cm7, F7, Bb6, Bb6",|Cm7|Cm7|F7|F7|Bb6|Bb6|Bb6|G7|Cm7|Cm7|F7|F7|Bb6|Bb6|Bb6|Bb6|Dm7|Dm7|G7|G7|Cm7|Cm7|Ebm7|Ab7|Bb6|Bb6|G7|G7|Cm7|F7|Bb6|Bb6|,0,"Jolson, Al & DeSylva, Buddy & Rose, Vincent"
Backstage Sally,f,,,,,"Fm6, D7, G7, C7, Ebm7, Ab7, Cm7, F7, Bbm6, Ab7, G7, Gb7, Fm7, Bb7, Ebm7, Ab7, D7, G7, C7, F7, Bb7, Eb7, G%7, C7, Fm6, D7, G7, C7, Fm7, Ab7, Db^, Gb7",|Fm6 D7|G7 C7|Ebm7 Ab7|Cm7 F7|Bbm6 Ab7|G7 Gb7|Fm7 Bb7|Ebm7 Ab7|D7 G7|C7 F7|Bb7 Eb7|G%7 C7|Fm6 D7|G7 C7|Fm7 Ab7|Db^ Gb7|,3,"Shorter, Wayne"
Ballade,F,,,,,"Cm7, F7, Bb^7, Bbm7, Eb7, Ab^7, Dm7, G7, Dm7, Dm7, G7, Gm7, D7, Gm7, C7, F^7, Dm7, A7, D7, D7, G7, G%7, C7, F6, F6",|Cm7 F7|Bb^7|Bbm7 Eb7|Ab^7 Dm7&G7|Dm7|Dm7 G7|Gm7 D7|Gm7 C7|F^7|Dm7 A7|D7|D7|G7|G%7 C7|F6|F6|,0,"Parker, Charlie"
"Baubles, Bangles And Beads",A-,,,,,"Bbm7, Eb7, Cm7, Fm7, Bbm7, Eb7, Ab^7, Ab^7, Dm7, G7, Em7, Am7, Dm7, G7, C^7, C^7, F#m7, B7, E^7, E^7, Bbm7, Eb7, Cm7, F7, Bbm7, Eb7, Cm7, F7, Bbm7, Eb7, Gb7, F7, Bbm7, Eb7, Ab^7, Ab^7",|Bbm7|Eb7|Cm7|Fm7|Bbm7|Eb7|Ab^7|Ab^7|Dm7|G7|Em7|Am7|Dm7|G7|C^7|C^7|F#m7|B7|E^7|E^7|Bbm7|Eb7|Cm7|F7|Bbm7|Eb7|Cm7|F7|Bbm7|Eb7|Gb7|F7|Bbm7|Eb7|Ab^7|Ab^7|,0,"Wright, Robert & Forrest, George"
Beatrice,F,,,,,"F^7, Gb^7, F^7, Eb^7, Dm7, Eb^7, Dm7, Cm7, Bbm7, Am7, Bb^7, E%7, A7, Dm7, Gm7, Gb^7, Fm7, Gb^7",|F^7|Gb^7|F^7|Eb^7|Dm7|Eb^7|Dm7 Cm7|Bbm7|Am7|Bb^7|E%7 A7|Dm7|Gm7|Gb^7|Fm7|Gb^7|,1,"Rivers, Sam"
"Beautiful Friendship, A",A-,,,,,"C^7, Gb7, F^7, E%7, A7, Am7, D7, Dm7, G7, C^7, Gb7, F^7, E%7, A7, Am7, D7, Dm7, G7, Gm7, C7, F^7, Bb7, Em7, A7, D7, G7, C^7, Gb7, F^7, E%7, A7, Dm7, G7, C6, A7, D7, G7",|C^7|Gb7|F^7|E%7 A7|Am7|D7|Dm7|G7|C^7|Gb7|F^7|E%7 A7|Am7|D7|Dm7|G7|Gm7|C7|F^7|Bb7|Em7|A7|D7|G7|C^7|Gb7|F^7|E%7 A7|Dm7|G7|C6 A7|D7 G7|,3,"Kahn, Donald"
Beautiful Love,d,,,,,"E%7, A7, Dm, Dm, Gm7, C7, F^7, E%7, A7, Dm, Gm7, Bb7, A7, Dm, G7, E%7, A7, E%7, A7, Dm, Dm, Gm7, C7, F^7, E%7, A7, Dm, Gm7, Bb7, A7, Dm, B7, Bb7, A7, Dm, Dm",|E%7|A7|Dm|Dm|Gm7|C7|F^7|E%7 A7|Dm|Gm7|Bb7|A7|Dm|G7|E%7|A7|E%7|A7|Dm|Dm|Gm7|C7|F^7|E%7 A7|Dm|Gm7|Bb7|A7|Dm B7|Bb7 A7|Dm|Dm|,0,"Young, Victor"
Bemsha Swing,C,,,,,"C^, A7, Ab7, Db7, C^, Eb7, D7, Db7, C^, A7, Ab7, Db7, C^, Ab7, Db7, Gb7, F^, D7, Db7, Gb7, F^, Ab7, G7, Db7, C^, A7, Ab7, Db7, C^, Db^7, Db^7",|C^ A7|Ab7 Db7|C^ Eb7|D7 Db7|C^ A7|Ab7 Db7|C^ Ab7|Db7 Gb7|F^ D7|Db7 Gb7|F^ Ab7|G7 Db7|C^ A7|Ab7 Db7|C^ Db^7|Db^7|,2,"Monk, Thelonious"
"Best Things In Life Are Free, The",C,,,,,"C6, C6, C^7, C^7, C6, C6, Ebo7, Dm7, G7, Dm7, Dm7, Dm7, Dm7, G7, Dm7, G7, C^7, C#o7, Dm7, G7, C7, C7, F^7, F^7, D7, D7, Dm7, G7, C6, C6, Em7, A7, Dm7, Dm7, G7, C6, C6",|C6|C6|C^7|C^7|C6|C6 Ebo7|Dm7|G7|Dm7|Dm7|Dm7|Dm7|G7|Dm7 G7|C^7 C#o7|Dm7 G7|C7|C7|F^7|F^7|D7|D7|Dm7|G7|C6|C6|Em7|A7|Dm7|Dm7 G7|C6|C6|,0,"DeSylva, B.G. & Brown, Lew & Henderson, Ray"
Bill Bailey,G,,,,,"G^, G^, G^, G^, G^, G^, Abo7, Am7, D7, D7, D7, D7, D7, D7, D7, G^, Am7, D7, G^, G^, G^, G^, Dm7, G7, C^, C^, C^, C#o7, G^, E7, A7, D7, G^, Am7, D7",|G^|G^|G^|G^|G^|G^ Abo7|Am7|D7|D7|D7|D7|D7|D7|D7|G^|Am7 D7|G^|G^|G^|G^|Dm7|G7|C^|C^|C^|C#o7|G^|E7|A7|D7|G^|Am7 D7|,2,Traditional
Birk's Works,f,,,,,"Fm6, G%7, C7, Fm6, C%7, F7, Bbm7, Bbm7, Fm6, Fm6, Abm7, Db7, G%7, C7, Fm6, Fm6",|Fm6|G%7 C7|Fm6|C%7 F7|Bbm7|Bbm7|Fm6|Fm6|Abm7 Db7|G%7 C7|Fm6|Fm6|,0,"Gillespie, Dizzy"
Blue Bossa,c,,,,,"Cm7, Cm7, Fm7, Fm7, D%7, G7, Cm7, Cm7, Ebm7, Ab7, Db^7, Db^7, D%7, G7, Cm7, D%7, G7",|Cm7|Cm7|Fm7|Fm7|D%7|G7|Cm7|Cm7|Ebm7|Ab7|Db^7|Db^7|D%7|G7|Cm7|D%7 G7|,2,"Dorham, Kenny"
Blue In Green,d,,,,,"Gm6, A7, Dm7, Db7, Cm7, F7, Bb^7, A7, Dm6, E7, Am7, Dm7, Gm6, A7, Dm6, Dm6",|Gm6|A7|Dm7 Db7|Cm7 F7|Bb^7|A7|Dm6|E7|Am7|Dm7|Gm6|A7|Dm6|Dm6|,0,"Davis, Miles & Evans, Bill"
Blue Lou,B-,,,,,"C%7, F7, C%7, F7, Bb^7, Eb^7, Cm7, F7, C%7, F7, C%7, F7, Bb^7, Eb^7, C7, F7, Bb^7, F^7, F#o7, Gm7, C7, F^7, F#o7, Gm7, C7, F7, C%7, F7, C%7, F7, Bb^7, Eb^7, C7, F7, Bb^7",|C%7|F7|C%7|F7|Bb^7|Eb^7|Cm7|F7|C%7|F7|C%7|F7|Bb^7|Eb^7|C7 F7|Bb^7|F^7|F#o7|Gm7|C7|F^7|F#o7|Gm7 C7|F7|C%7|F7|C%7|F7|Bb^7|Eb^7|C7 F7|Bb^7|,0,"Mills, Irving"
Blues For Alice,F,,,,,"F^7, E%7, A7, Dm7, G7, Cm7, F7, Bb7, Bbm7, Eb7, Am7, D7, Abm7, Db7, Gm7, C7, F7, D7, Gm7, C7",|F^7|E%7 A7|Dm7 G7|Cm7 F7|Bb7|Bbm7 Eb7|Am7 D7|Abm7 Db7|Gm7|C7|F7 D7|Gm7 C7|,-1,"Parker, Charlie"
Blues For Wood,f,,,,,"Fm7, Fm7, Fm7, Fm7, Db7, Db7, Fm7, Fm7, Db7, Bb^7, G%7, C7, Fm7",|Fm7|Fm7|Fm7|Fm7|Db7|Db7|Fm7|Fm7|Db7|Bb^7|G%7 C7|Fm7|,NT,"Shaw, Woody"
Bluesette,B-,,,,,"Bb^7, Bb^7, A%7, D7, Gm7, C7, Fm7, Bb7, Eb^7, Eb^7, Ebm7, Ab7, Db^7, Db^7, C#m7, F#7, B^7, B^7, Cm7, F7, Dm7, G7, Cm7, F7",|Bb^7|Bb^7|A%7|D7|Gm7|C7|Fm7|Bb7|Eb^7|Eb^7|Ebm7|Ab7|Db^7|Db^7|C#m7|F#7|B^7|B^7|Cm7|F7|Dm7|G7|Cm7|F7|,-1,"Thielemans, Toots"
Boo Boo's Birthday,C,,,,,"C^7, B7, E7, E7, F7, E7, Eb7, D7, Db^7, Db7, C^7, B7, E7, E7, F7, E7, Eb7, D7, Db^7, Db7, Gm7, Db7, Gb7, F^7, C^7, F^7, C^7",|C^7|B7|E7|E7|F7 E7|Eb7 D7|Db^7|Db7|C^7|B7|E7|E7|F7 E7|Eb7 D7|Db^7|Db7|Gm7|Db7 Gb7|F^7|C^7|F^7 C^7|,0,"Monk, Thelonious"
Booker's Waltz,A-,,,,,"Ab^7, Eb7, G%7, C7, Fm7, Db7, Bb7, Db7, Ab^7, B7, Bbm7, Eb7, Ab^7, Ab^7, A7, A7",|Ab^7|Eb7|G%7|C7|Fm7|Db7|Bb7|Db7|Ab^7|B7|Bbm7|Eb7|Ab^7|Ab^7|A7|A7|,2,"Little, Booker"
Bossa Antigua,A-,,,,,"Bbm7, Eb7, Cm7, Fm7, Bbm7, Eb7, Cm7, F7, Bbm7, Eb7, Cm7, Fm7, Bbm7, Dm7, G7, C^7, Am7, Dm7, G7, Em7, Am7, Dm7, G7, Cm7, F7, Bbm7, Eb7, Cm7, Fm7, Bbm7, Eb7, Ab^7, Ab^7",|Bbm7|Eb7|Cm7|Fm7|Bbm7|Eb7|Cm7|F7|Bbm7|Eb7|Cm7|Fm7|Bbm7|Dm7 G7|C^7|Am7|Dm7|G7|Em7|Am7|Dm7|G7|Cm7|F7|Bbm7|Eb7|Cm7|Fm7|Bbm7|Eb7|Ab^7|Ab^7|,0,"Desmond, Paul"
Boy Next Door,C,,,,,"Bb^7, G7, Cm7, F7, Bb^7, Gm7, C7, C7, Cm7, F7, Bb^7, Gm7, E%7, A7, Dm7, Db7, Cm7, F7, Bb^7, G7, Cm7, F7, Bb^7, Gm7, C7, B7, Bb^7, Bb^7, E%7, C7, Gb7, F7, Bb^7, Bb^7",|Bb^7|G7|Cm7|F7|Bb^7|Gm7|C7|C7|Cm7|F7|Bb^7|Gm7|E%7|A7|Dm7 Db7|Cm7 F7|Bb^7|G7|Cm7|F7|Bb^7|Gm7|C7|B7|Bb^7|Bb^7|E%7|C7|Gb7|F7|Bb^7|Bb^7|,0,"Martin, Hugh & Blane, Ralph"
Bright Mississippi,A-,,,,,"F7, F7, F7, F7, Bb7, Bb7, Bb7, Bb7, Eb7, Eb7, Eb7, Eb7, Ab^7, Ab^7, G%7, C7, F7, F7, F7, F7, Bb7, Bb7, Bb7, Bb7, Fm, C7, Fm, C7, Ab^7, F7, Bbm7, Eb7, Ab6",|F7|F7|F7|F7|Bb7|Bb7|Bb7|Bb7|Eb7|Eb7|Eb7|Eb7|Ab^7|Ab^7|G%7|C7|F7|F7|F7|F7|Bb7|Bb7|Bb7|Bb7|Fm|C7|Fm|C7|Ab^7|F7|Bbm7 Eb7|Ab6|,0,"Monk, Thelonious"
Broadway,B-,,,,,"Bb^7, Bb^7, Eb7, Eb7, Cm7, F7, Bb^7, G7, Cm7, F7, Bb^7, Bb^7, Eb7, Eb7, Cm7, F7, Bb6, Bb6, Fm7, Bb7, Eb^7, Eb^7, Ebm7, Ab7, Db7, Gb7, F7, Bb^7, Bb^7, Eb7, Eb7, Cm7, F7, Bb6, Bb6",|Bb^7|Bb^7|Eb7|Eb7|Cm7|F7|Bb^7 G7|Cm7 F7|Bb^7|Bb^7|Eb7|Eb7|Cm7|F7|Bb6|Bb6|Fm7|Bb7|Eb^7|Eb^7|Ebm7|Ab7|Db7|Gb7 F7|Bb^7|Bb^7|Eb7|Eb7|Cm7|F7|Bb6|Bb6|,0,"Woode, William Henri & Bird, Bill & McRae, Teddy"
Brotherhood Of Man,E-,,,,,"Eb^, Eb^, Eb^, Eb^, Eb^, Fm7, Gm7, C7, F7, Bb7, Eb^, Eb^, Ab7, Co7, Gm7, C7, Fm7, Bb7, Eb^, Bb7",|Eb^|Eb^|Eb^|Eb^|Eb^ Fm7|Gm7 C7|F7|Bb7|Eb^|Eb^|Ab7|Co7|Gm7 C7|Fm7 Bb7|Eb^|Bb7|,1,"Loesser, Frank"
Candy,B-,,,,,"Eb^7, Ebm6, Dm7, Dbo7, Cm7, F7, Bb6, Fm7, Bb7, Eb^7, Ebm6, Dm7, Dbo7, Cm7, F7, Bb6, Eb7, Bb6, Am7, D7, Dm7, G7, Gm7, C7, Cm7, F7, Bb7, Eb^7, Ebm6, Dm7, Dbo7, Cm7, F7, Bb6, Eb7, Bb6",|Eb^7|Ebm6|Dm7|Dbo7|Cm7|F7|Bb6|Fm7 Bb7|Eb^7|Ebm6|Dm7|Dbo7|Cm7|F7|Bb6 Eb7|Bb6|Am7|D7|Dm7|G7|Gm7|C7|Cm7|F7 Bb7|Eb^7|Ebm6|Dm7|Dbo7|Cm7|F7|Bb6 Eb7|Bb6|,0,Mack David & Joan Whitney & Alex Kramer
Central Park West,B,,,,,"B^7, Em7, A7, D^7, Bbm7, Eb7, Ab^7, Gm7, C7, F^7, C#m7, F#7, B^7, Em7, A7, D^7, C#m7, F#7, B^7, B6, B^7, B6, C#m7, F#7",|B^7 Em7&A7|D^7 Bbm7&Eb7|Ab^7 Gm7&C7|F^7 C#m7&F#7|B^7 Em7&A7|D^7 C#m7&F#7|B^7|B6|B^7|B6 C#m7&F#7|,3,"Coltrane, John"
Chucho,d,,,,,"Dm, E%7, A7, Dm, E%7, A7, Dm, E%7, A7, Dm, E%7, A7, Dm, E%7, A7, Dm, D7, Gm, Gm7, E%7, A7, Dm, Dbm, Cm7, F7, Bb7, E%7, A7, Dm, A7",|Dm|E%7 A7|Dm|E%7 A7|Dm|E%7 A7|Dm|E%7 A7|Dm|E%7 A7|Dm|D7|Gm Gm7|E%7 A7|Dm Dbm|Cm7 F7|Bb7|E%7 A7|Dm|A7|,1,"D'Rivera, Paquito"
Contemplation,c,,,,,"Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Ab^7, Ab^7, Ab^7, Ab^7, G7, G7, G7, G7",|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Ab^7|Ab^7|Ab^7|Ab^7|G7|G7|G7|G7|,-1,"Tyner, McCoy"
"Cool One, The",G,,,,,"Bm7, E7, Bm7, E7, Am7, D7, Am7, D7, Bm7, E7, Bm7, E7, Am7, D7, Am7, D7, G^7, G^7, B%7, E7, C#%7, A%7, D7, G^7, C7, Bm7, E7, Bm7, E7, Am7, D7, Am7, D7",|Bm7|E7|Bm7|E7|Am7|D7|Am7|D7|Bm7|E7|Bm7|E7|Am7|D7|Am7|D7|G^7|G^7|B%7|E7|C#%7|A%7 D7|G^7|C7|Bm7|E7|Bm7|E7|Am7|D7|Am7|D7|,NT,"Golson, Benny"
Corcovado,C,,,,,"Am6, Am6, Abo7, Abo7, Gm7, C7, F^7, F^7, F^7, Fm7, Bb7, Em7, A7, D7, D7, Dm7, G7, Am6, Am6, Abo7, Abo7, Gm7, C7, F^7, F^7, F^7, Fm7, Bb7, Em7, Am7, Dm7, G7, Em7, A7, Dm7, G7, C6, C6",|Am6|Am6|Abo7|Abo7|Gm7|C7|F^7 F^7|F^7|Fm7|Bb7|Em7|A7|D7|D7|Dm7|G7|Am6|Am6|Abo7|Abo7|Gm7|C7|F^7 F^7|F^7|Fm7|Bb7|Em7|Am7|Dm7|G7|Em7|A7|Dm7|G7|C6|C6|,NT,"Jobim, Antonio Carlos"
Dancing In The Dark,C,,,,,"C^7, C^7, Co7, Co7, Dm7, Dm7, D%7, G7, C^7, Cm7, E%7, A7, D%7, D%7, D%7, Ab7, G7, C^7, C^7, Co7, Co7, Dm7, Dm7, D%7, D%7, G7, C^7, Cm7, Eb7, Db7, C6, D%7, Gsus, C6, Dm7, G7",|C^7|C^7|Co7|Co7|Dm7|Dm7|D%7|G7|C^7|Cm7|E%7|A7|D%7|D%7|D%7 Ab7|G7|C^7|C^7|Co7|Co7|Dm7|Dm7|D%7|D%7 G7|C^7|Cm7|Eb7|Db7|C6|D%7 Gsus|C6|Dm7 G7|,2,"Schwartz, Arthur"
Dearly Beloved,C,,,,,"Dm7, G7, Dm7, G7, Dm7, G7, Dm7, G7, C6, C6, Dm7, G7, C^7, C^7, Ebm7, Ab7, Ebm7, Ab7, Dm7, G7, Dm7, G7, Dm7, G7, Dm7, G7, C6, C6, D7, D7, Dm7, G7, C6, Em7, A7",|Dm7|G7|Dm7|G7|Dm7|G7|Dm7|G7|C6|C6|Dm7|G7|C^7|C^7|Ebm7 Ab7|Ebm7 Ab7|Dm7|G7|Dm7|G7|Dm7|G7|Dm7|G7|C6|C6|D7|D7|Dm7|G7|C6|Em7 A7|,2,"Kern, Jerome"
Donna Lee,A-,,,,,"Ab^7, F7, Bb7, Bb7, Bbm7, Eb7, Ab^7, Ebm7, Ab7, Db^7, Gb7, Ab^7, F7, Bb7, Bb7, Bbm7, Eb7, Ab^7, F7, Bb7, Bb7, G%7, C7, Fm, C7, Fm, C7, Fm, Bo7, Cm7, F7, Bbm7, Eb7, Ab^7, Bbm7, Eb7",|Ab^7|F7|Bb7|Bb7|Bbm7|Eb7|Ab^7|Ebm7 Ab7|Db^7|Gb7|Ab^7|F7|Bb7|Bb7|Bbm7|Eb7|Ab^7|F7|Bb7|Bb7|G%7|C7|Fm|C7|Fm|C7|Fm|Bo7|Cm7 F7|Bbm7 Eb7|Ab^7|Bbm7 Eb7|,2,"Charlie, Parker"
Don't Worry 'Bout Me,A-,,,,,"Bbm7, Eb7, Ab^7, Ab^7, Bbm7, Eb7, Ab6, Cm7, Bo7, Bbm7, Dbm6, Gb7, Gb7, G%7, C7, Fm7, Bb7, Bbm7, Eb7, Bbm7, Eb7, Ab^7, Ab^7, Ab^7, Ebm7, Ab7, Db^7, Db^7, Db^7, Gb7, Cm7, F7, Bbm7, Eb7, Ab6, Cm7, F7",|Bbm7|Eb7|Ab^7|Ab^7|Bbm7|Eb7|Ab6|Cm7 Bo7|Bbm7|Dbm6|Gb7|Gb7 G%7&C7|Fm7|Bb7|Bbm7|Eb7|Bbm7|Eb7|Ab^7|Ab^7|Ab^7|Ebm7 Ab7|Db^7|Db^7|Db^7|Gb7|Cm7|F7|Bbm7|Eb7|Ab6|Cm7 F7|,2,"Bloom, Rube"
Equinox,c#,,,,,"C#m7, C#m7, C#m7, C#m7, F#m7, F#m7, C#m7, C#m7, A7, G#7, C#m7, C#m7",|C#m7|C#m7|C#m7|C#m7|F#m7|F#m7|C#m7|C#m7|A7|G#7|C#m7|C#m7|,NT,"Coltrane, John"
Exactly Like You,C,,,,,"C6, C6, D7, D7, G7, G7, C6, Dm7, G7, C6, C6, D7, D7, G7, G7, C6, C7, F^7, Bb7, C6, Am7, Dm7, Fm6, G7, Em7, Ebo7, Dm7, G7, C6, C6, D7, D7, G7, G7, C6, Dm7, G7",|C6|C6|D7|D7|G7|G7|C6|Dm7 G7|C6|C6|D7|D7|G7|G7|C6|C7|F^7|Bb7|C6|Am7|Dm7|Fm6 G7|Em7 Ebo7|Dm7 G7|C6|C6|D7|D7|G7|G7|C6|Dm7 G7|,2,"McHugh, Jimmy"
Fine And Dandy,F,,,,,"F^7, Abo7, Gm7, C7, F^7, Abo7, Gm7, C7, F7, F7, Bb7, Bb7, Eb7, Eb7, Ab7, Gm7, C7, F^7, Abo7, Gm7, C7, F^7, Abo7, Gm7, C7, Cm7, F7, Bb^7, Bbm7, G7, Gm7, C7, F^7, F^7",|F^7|Abo7|Gm7|C7|F^7|Abo7|Gm7|C7|F7|F7|Bb7|Bb7|Eb7|Eb7|Ab7|Gm7 C7|F^7|Abo7|Gm7|C7|F^7|Abo7|Gm7|C7|Cm7|F7|Bb^7|Bbm7|G7|Gm7 C7|F^7|F^7|,0,"Swift, Kay"
"Fine Romance, A",C,,,,,"C6, C#o7, Dm6, D#o7, Em7, Am7, Dm7, G7, C6, Ebo7, Dm7, G7, Em7, A7, D7, G7, C6, C#o7, Dm6, D#o7, Em7, Am7, Dm7, G7, C6, C7, F^7, F#%7, B7, Em7, A7, Dm7, G7, C6, Dm7, G7",|C6|C#o7|Dm6|D#o7|Em7|Am7|Dm7|G7|C6|Ebo7|Dm7|G7|Em7|A7|D7|G7|C6|C#o7|Dm6|D#o7|Em7|Am7|Dm7|G7|C6|C7|F^7|F#%7 B7|Em7 A7|Dm7 G7|C6|Dm7 G7|,2,"Kern, Jerome"
Fools Rush In,C,,,,,"Dm7, G7, C^7, Am7, Dm7, G7, C^7, Am7, Dm7, G7, C6, Am7, D7, D7, G7, G7, Dm7, G7, C^7, Am7, Dm7, G7, E%7, A7, Dm7, Fm6, C^7, Am7, Dm7, G7, C6, Am7, Dm7, G7",|Dm7|G7|C^7|Am7|Dm7|G7|C^7|Am7|Dm7|G7|C6|Am7|D7|D7|G7|G7|Dm7|G7|C^7|Am7|Dm7|G7|E%7|A7|Dm7|Fm6|C^7|Am7|Dm7|G7|C6 Am7|Dm7 G7|,3,"Bloom, Rube"
Footprints,c,,,,,"Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Fm7, Fm7, Fm7, Fm7, Cm7, Cm7, Cm7, Cm7, D7, D7, Db7, Db7, Cm7, Cm7, Cm7, Cm7",|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Fm7|Fm7|Fm7|Fm7|Cm7|Cm7|Cm7|Cm7|D7|D7|Db7|Db7|Cm7|Cm7|Cm7|Cm7|,0,"Shorter, Wayne"
Four On Six,g,,,,,"Gm7, Gm7, Gm7, Gm7, Cm7, F7, Bbm7, Eb7, Am7, D7, Ebm7, Ab7, Gm7, Gm7, Gm7, Cm7, F7, Bb^7, Gm7, Eb7, D7, Gm7, A%7, D7",|Gm7|Gm7|Gm7|Gm7|Cm7 F7|Bbm7 Eb7|Am7 D7|Ebm7 Ab7|Gm7|Gm7|Gm7|Cm7 F7|Bb^7 Gm7|Eb7 D7|Gm7|A%7 D7|,2,"Montgomery, Wes"
